n_neighbors,kNN model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1_score,std_f1_score
1,without oversampling,0.7073232323232322,0.05083393199181601,0.26047785547785546,0.08896913656010166,0.2722727272727273,0.10669625536583235,0.2602706852830692,0.08805624562590854
1,with oversampling,0.711010101010101,0.0504658770637631,0.2643249805749806,0.08940400769320528,0.2722727272727273,0.10669625536583235,0.2628362333662509,0.09108819150150403
3,without oversampling,0.7653535353535352,0.04742432310316821,0.34292207792207796,0.24417450555774858,0.18681818181818183,0.10692837642997491,0.23195149905507959,0.12917069147907262
3,with oversampling,0.6503535353535354,0.05352936829935461,0.267319058220761,0.06629046534791691,0.4631818181818182,0.12957256494635297,0.3364707700839514,0.08343297565250898
5,without oversampling,0.7753872053872054,0.041484419306523614,0.2833333333333333,0.2242270674512285,0.10954545454545454,0.08612287013523513,0.15632245205774614,0.12191238593574966
5,with oversampling,0.6027609427609428,0.05744275499739115,0.24919550482745395,0.0650947097369654,0.53,0.1556405054674032,0.3375984157393239,0.08960618012065438
7,without oversampling,0.7945959595959596,0.038367365329238415,0.385,0.2927788319609948,0.08590909090909092,0.05908916081329837,0.1389010989010989,0.09648880085433993
7,with oversampling,0.5853198653198654,0.06263896905962428,0.23668039938491886,0.07262195099958035,0.5259090909090911,0.18415038320992885,0.32483438885863797,0.10211636717297735
9,without oversampling,0.8000505050505051,0.02324019653833428,0.26666666666666666,0.33499585403736304,0.05681818181818184,0.06814392886620432,0.09183816183816185,0.10916791766450744
9,with oversampling,0.5925589225589224,0.07098805002041227,0.25274660197426474,0.07518933597983432,0.5604545454545454,0.1588511179877259,0.3467546321369476,0.09845373252126281
11,without oversampling,0.7973400673400675,0.0266429553120431,0.3083333333333333,0.39184393151695823,0.04363636363636363,0.04832739585455278,0.07459207459207459,0.08275058275058275
11,with oversampling,0.5905050505050505,0.07710280385967934,0.25347477814515795,0.08733288868499083,0.5654545454545455,0.17906091119324555,0.34707380112607933,0.10981247522967721
13,without oversampling,0.7973232323232324,0.022751944458830553,0.24166666666666664,0.36695064760506657,0.03363636363636364,0.04591584108790689,0.05780885780885782,0.07895218794751499
13,with oversampling,0.588821548821549,0.05795390420435078,0.24909103368027852,0.06165991023410915,0.5599999999999999,0.13895715494025815,0.34364788582140926,0.08325772809258628
15,without oversampling,0.801936026936027,0.017693234273604124,0.175,0.36314597615834876,0.019545454545454543,0.03913052960422895,0.03484848484848485,0.069779266301027
15,with oversampling,0.5962457912457912,0.06184858694545951,0.24920736723638276,0.06846658552426067,0.5418181818181818,0.15046484447035327,0.3393041427299682,0.08935875245365897
17,without oversampling,0.8009932659932659,0.013352821777654155,0.06666666666666667,0.22607766610417562,0.01,0.03,0.01678321678321678,0.05054352727158783
17,with oversampling,0.5943265993265994,0.06748572420578194,0.24985262347619325,0.07513021250312435,0.5445454545454547,0.15566174389488477,0.3409596952421366,0.09752141192268891
19,without oversampling,0.7973063973063973,0.015001502039092654,0.0,0.0,0.0,0.0,0.0,0.0
19,with oversampling,0.6017340067340067,0.05376233302625074,0.2591780462194815,0.06184439420720529,0.58,0.16468351817053456,0.35601902582874734,0.08621247797274782
